1;2;3
Znajdź pytania;Używaj pytań na *Pan/Pani* (vous);Questions de base
Vous parlez quelles langues;Je parle anglais et polonais.;angielski i polski
Vous parlez allemand;Je ne parle pas allemand.;Nie mówię po niemiecku
Vous avez quels animaux;J'ai deux chats;Mam dwa koty
Quel est votre métier;Je suis médecin.;lekarz
Vous avez combien d'enfants;J'ai deux enfants;2
Quelle est votre profession;Je suis médecin.;lekarz
Vous avez quel âge;J'ai 53 ans.;53
Vous êtes de quelle nationalité;Je suis polonais.;Polak
Vous vous appelez comment;Je m'appelle Marcin.;Marcin
Vous faites quoi dans la vie;Je suis médecin.;lekarz
